NEW CONSTITUENCY,ED_GUID,GEOGDESC,Adults aged 18+,Adults living with parents
Carlow-Kilkenny,2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",300,46
Carlow-Kilkenny,2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",855,135
Carlow-Kilkenny,2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",454,63
Carlow-Kilkenny,2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",575,79
Carlow-Kilkenny,2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",352,53
Carlow-Kilkenny,2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",263,42
Carlow-Kilkenny,2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",207,30
Carlow-Kilkenny,2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",857,110
Carlow-Kilkenny,2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",366,48
Carlow-Kilkenny,2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",12092,1567
Carlow-Kilkenny,2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",4240,351
Carlow-Kilkenny,2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",856,138
Carlow-Kilkenny,2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",833,135
Carlow-Kilkenny,2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",429,73
Carlow-Kilkenny,2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",166,26
Carlow-Kilkenny,2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",419,64
Carlow-Kilkenny,2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",883,97
Carlow-Kilkenny,2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",608,99
Carlow-Kilkenny,2ae19629-1874-13a3-e055-000000000001,"Garryhill, Carlow",489,89
Carlow-Kilkenny,2ae19629-187d-13a3-e055-000000000001,"Glynn, Carlow",292,52
Carlow-Kilkenny,2ae19629-1a59-13a3-e055-000000000001,"Graigue Urban, Carlow",1349,164
Carlow-Kilkenny,2ae19629-187e-13a3-e055-000000000001,"Grangeford, Carlow",456,55
Carlow-Kilkenny,2ae19629-187f-13a3-e055-000000000001,"Hacketstown, Carlow",906,130
Carlow-Kilkenny,2ae19629-1887-13a3-e055-000000000001,"Haroldstown, Carlow",242,54
Carlow-Kilkenny,2ae19629-1888-13a3-e055-000000000001,"Johnstown, Carlow",467,88
Carlow-Kilkenny,2ae19629-1889-13a3-e055-000000000001,"Kellistown, Carlow",781,139
Carlow-Kilkenny,2ae19629-188a-13a3-e055-000000000001,"Kilbride, Carlow",359,47
Carlow-Kilkenny,2ae19629-1895-13a3-e055-000000000001,"Killedmond, Carlow",353,60
Carlow-Kilkenny,2ae19629-1896-13a3-e055-000000000001,"Killerrig, Carlow",292,56
Carlow-Kilkenny,2ae19629-1897-13a3-e055-000000000001,"Kineagh, Carlow",300,52
Carlow-Kilkenny,2ae19629-18a0-13a3-e055-000000000001,"Kyle, Carlow",268,48
Carlow-Kilkenny,2ae19629-18a1-13a3-e055-000000000001,"Leighlinbridge, Carlow",1314,198
Carlow-Kilkenny,2ae19629-18a2-13a3-e055-000000000001,"Marley, Carlow",298,47
Carlow-Kilkenny,2ae19629-18ab-13a3-e055-000000000001,"Muinebeag Rural, Carlow",549,96
Carlow-Kilkenny,2ae19629-18ac-13a3-e055-000000000001,"Muinebeag Urban, Carlow",2250,336
Carlow-Kilkenny,2ae19629-18ad-13a3-e055-000000000001,"Myshall, Carlow",436,59
Carlow-Kilkenny,2ae19629-18ae-13a3-e055-000000000001,"Nurney, Carlow",710,144
Carlow-Kilkenny,2ae19629-18b7-13a3-e055-000000000001,"Oldleighlin, Carlow",439,78
Carlow-Kilkenny,2ae19629-18b8-13a3-e055-000000000001,"Rahill, Carlow",588,92
Carlow-Kilkenny,2ae19629-18b9-13a3-e055-000000000001,"Rathanna, Carlow",107,10
Carlow-Kilkenny,2ae19629-18c2-13a3-e055-000000000001,"Rathornan, Carlow",355,54
Carlow-Kilkenny,2ae19629-18c3-13a3-e055-000000000001,"Rathrush, Carlow",826,152
Carlow-Kilkenny,2ae19629-18c4-13a3-e055-000000000001,"Rathvilly, Carlow",668,95
Carlow-Kilkenny,2ae19629-1816-13a3-e055-000000000001,"Ridge, Carlow",223,43
Carlow-Kilkenny,2ae19629-1817-13a3-e055-000000000001,"Shangarry, Carlow",423,77
Carlow-Kilkenny,2ae19629-1818-13a3-e055-000000000001,"Sliguff, Carlow",430,86
Carlow-Kilkenny,2ae19629-1820-13a3-e055-000000000001,"Tankardstown, Carlow",360,50
Carlow-Kilkenny,2ae19629-1821-13a3-e055-000000000001,"Templepeter, Carlow",368,69
Carlow-Kilkenny,2ae19629-1822-13a3-e055-000000000001,"Tiknock, Carlow",263,45
Carlow-Kilkenny,2ae19629-1823-13a3-e055-000000000001,"Tinnahinch, Carlow",536,82
Carlow-Kilkenny,2ae19629-1a55-13a3-e055-000000000001,"Tullow Rural, Carlow",778,75
Carlow-Kilkenny,2ae19629-1a56-13a3-e055-000000000001,"Tullow Urban, Carlow",3127,392
Carlow-Kilkenny,2ae19629-1a57-13a3-e055-000000000001,"Tullowbeg, Carlow",461,58
Carlow-Kilkenny,2ae19629-1a58-13a3-e055-000000000001,"Williamstown, Carlow",245,36
Dublin Central,2ae19629-1ceb-13a3-e055-000000000001,"Arran Quay A, Dublin City",1579,65
Dublin Central,2ae19629-1cec-13a3-e055-000000000001,"Arran Quay B, Dublin City",4837,118
Dublin Central,2ae19629-1ced-13a3-e055-000000000001,"Arran Quay C, Dublin City",4170,123
Dublin Central,2ae19629-1cee-13a3-e055-000000000001,"Arran Quay D, Dublin City",2864,159
Dublin Central,2ae19629-1cef-13a3-e055-000000000001,"Arran Quay E, Dublin City",2958,154
Dublin West,2ae19629-1cf0-13a3-e055-000000000001,"Ashtown A, Dublin City",9686,1104
Dublin West,2ae19629-1d03-13a3-e055-000000000001,"Ashtown B, Dublin City",2274,233
Dublin Bay North,2ae19629-1d04-13a3-e055-000000000001,"Ayrfield, Dublin City",4682,796
Dublin Central,2ae19629-1d05-13a3-e055-000000000001,"Ballybough A, Dublin City",3376,358
Dublin Central,2ae19629-1d06-13a3-e055-000000000001,"Ballybough B, Dublin City",3697,156
Dublin North-West,2ae19629-1d08-13a3-e055-000000000001,"Ballygall A, Dublin City",2842,456
Dublin North-West,2ae19629-1d09-13a3-e055-000000000001,"Ballygall B, Dublin City",1581,180
Dublin North-West,2ae19629-1d07-13a3-e055-000000000001,"Ballygall C, Dublin City",2937,373
Dublin North-West,2ae19629-1d0a-13a3-e055-000000000001,"Ballygall D, Dublin City",2028,293
Dublin North-West,2ae19629-1d0b-13a3-e055-000000000001,"Ballymun A, Dublin City",4154,647
Dublin North-West,2ae19629-1d0c-13a3-e055-000000000001,"Ballymun B, Dublin City",3397,631
Dublin North-West,2ae19629-1d0d-13a3-e055-000000000001,"Ballymun C, Dublin City",4706,827
Dublin North-West,2ae19629-1d0e-13a3-e055-000000000001,"Ballymun D, Dublin City",2005,224
Dublin North-West,2ae19629-1d0f-13a3-e055-000000000001,"Ballymun E, Dublin City",1348,196
Dublin North-West,2ae19629-1d10-13a3-e055-000000000001,"Ballymun F, Dublin City",1928,299
Dublin North-West,2ae19629-1d11-13a3-e055-000000000001,"Beaumont A, Dublin City",2163,264
Dublin North-West,2ae19629-1d12-13a3-e055-000000000001,"Beaumont B, Dublin City",4293,436
Dublin Bay North,2ae19629-1d21-13a3-e055-000000000001,"Beaumont C, Dublin City",2732,357
Dublin Bay North,2ae19629-1d22-13a3-e055-000000000001,"Beaumont D, Dublin City",1750,317
Dublin Bay North,2ae19629-1d23-13a3-e055-000000000001,"Beaumont E, Dublin City",1581,226
Dublin North-West,2ae19629-1d24-13a3-e055-000000000001,"Beaumont F, Dublin City",3078,475
Dublin Central,2ae19629-1d25-13a3-e055-000000000001,"Botanic A, Dublin City",2802,258
Dublin Central,2ae19629-1d26-13a3-e055-000000000001,"Botanic B, Dublin City",3021,277
Dublin Central,2ae19629-1d27-13a3-e055-000000000001,"Botanic C, Dublin City",1997,147
Dublin Central,2ae19629-1d28-13a3-e055-000000000001,"Cabra East A, Dublin City",5087,361
Dublin Central,2ae19629-1d29-13a3-e055-000000000001,"Cabra East B, Dublin City",3073,392
Dublin Central,2ae19629-1d2a-13a3-e055-000000000001,"Cabra East C, Dublin City",3661,255
Dublin Central,2ae19629-1d2b-13a3-e055-000000000001,"Cabra West A, Dublin City",1191,223
Dublin Central,2ae19629-1d2c-13a3-e055-000000000001,"Cabra West B, Dublin City",2196,344
Dublin Central,2ae19629-1d2d-13a3-e055-000000000001,"Cabra West C, Dublin City",2388,375
Dublin Central,2ae19629-1d2e-13a3-e055-000000000001,"Cabra West D, Dublin City",2346,331
Dublin South-Central,2ae19629-1d31-13a3-e055-000000000001,"Carna, Dublin City",2316,488
Dublin South-Central,2ae19629-1d2f-13a3-e055-000000000001,"Chapelizod, Dublin City",2873,217
Dublin South-Central,2ae19629-1d30-13a3-e055-000000000001,"Cherry Orchard A, Dublin City",2702,297
Dublin South-Central,2ae19629-1d42-13a3-e055-000000000001,"Cherry Orchard C, Dublin City",3546,759
Dublin Bay North,2ae19629-1d43-13a3-e055-000000000001,"Clontarf East A, Dublin City",2810,403
Dublin Bay North,2ae19629-1d44-13a3-e055-000000000001,"Clontarf East B, Dublin City",5656,735
Dublin Bay North,2ae19629-1d45-13a3-e055-000000000001,"Clontarf East C, Dublin City",2588,384
Dublin Bay North,2ae19629-1d46-13a3-e055-000000000001,"Clontarf East D, Dublin City",2248,292
Dublin Bay North,2ae19629-1d47-13a3-e055-000000000001,"Clontarf East E, Dublin City",1379,183
Dublin Bay North,2ae19629-1d48-13a3-e055-000000000001,"Clontarf West A, Dublin City",3018,411
