incident_id,date,year,time_band,longitude,latitude,constituency,constituency_slug,electoral_district,electoral_district_guid,incident_type,incident_count,fatality_count,serious_injury_count,non_serious_injury_count,casualty_count,cyclist_count,driver_count,e_scooter_other_count,motorcyclist_count,passenger_count,pedestrian_count
1,2016-01-01,2016,12am-3.59am,-6.498548333,52.351671666,Wexford,wexford,Wexford Rural,2ae19629-1e45-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
2,2016-01-01,2016,4am-7.59am,-8.194183333,53.96291,Roscommon-Galway,roscommon-galway,Rockingham,2ae19629-19ca-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
3,2016-01-01,2016,12pm-3.59pm,-8.50967,51.875868333,Cork South-Central,cork-south-central,Inishkenny,2ae19809-1f5b-13a3-e055-900000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
4,2016-01-01,2016,12pm-3.59pm,-6.327208333,53.324143333,Dublin South-Central,dublin-south-central,Crumlin F,2ae19629-1d63-13a3-e055-000000000001,Non-serious,1,0,0,3,3,0,1,0,0,2,0
5,2016-01-01,2016,8pm-11.59pm,-6.272675,53.360795,Dublin Central,dublin-central,Cabra East A,2ae19629-1d28-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,0,0,0,0,2
6,2016-01-01,2016,8pm-11.59pm,-6.272678333,53.360713333,Dublin Central,dublin-central,Cabra East A,2ae19629-1d28-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,0,0,0,0,2
7,2016-01-01,2016,4pm-7.59pm,-8.334346666,52.566716666,Limerick County,limerick-county,Grean,2ae19629-17a9-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
8,2016-01-01,2016,4am-7.59am,-6.956075,53.391843333,Kildare South,kildare-south,Carbury,2ae19629-2275-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,1,0
9,2016-01-01,2016,12am-3.59am,-9.248015,54.225988333,Mayo,mayo,Killala,2ae19629-193f-13a3-e055-000000000001,Non-serious,1,0,0,7,7,0,1,0,0,6,0
10,2016-01-01,2016,12am-3.59am,-7.357093333,53.984896666,Cavan-Monaghan,cavan-monaghan,Cavan Urban,2ae19629-1daa-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
11,2016-01-01,2016,12pm-3.59pm,-6.402706666,53.355811666,Dublin Mid-West,dublin-mid-west,Palmerston West,2ae19629-1de4-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
12,2016-01-01,2016,8pm-11.59pm,-6.183755,53.606501666,Dublin Fingal West,dublin-fingal-west,Balbriggan Urban,2ae19629-1ef1-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,2,0,0,0,0
13,2016-01-01,2016,12pm-3.59pm,-6.353351666,53.71147,Louth,louth,West Gate,2ae19629-191e-13a3-e055-000000000001,Non-serious,1,0,0,3,3,0,0,0,0,3,0
14,2016-01-01,2016,4pm-7.59pm,-6.359573333,54.032605,Louth,louth,Ballymascanlan,2ae19629-1950-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
15,2016-01-01,2016,4pm-7.59pm,-6.249748333,53.357113333,Dublin Central,dublin-central,Ballybough B,2ae19629-1d06-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,1,0,0
16,2016-01-01,2016,12pm-3.59pm,-7.453386666,53.961326666,Cavan-Monaghan,cavan-monaghan,Crossdoney,2ae19629-1dda-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
17,2016-01-01,2016,4pm-7.59pm,-8.447898333,51.880201666,Cork South-Central,cork-south-central,Tramore C,2ae19629-21b4-13a3-e055-000000000001,Serious,1,0,1,0,1,0,0,0,0,1,0
18,2016-01-01,2016,8pm-11.59pm,-6.296223333,53.32483,Dublin South-Central,dublin-south-central,Kimmage B,2ae19629-1d9a-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
19,2016-01-01,2016,8pm-11.59pm,-6.120211666,52.938193333,Wicklow-Wexford,wicklow-wexford,Dunganstown West,2ae19629-1eea-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
20,2016-01-01,2016,12am-3.59am,-6.64057,53.68175,Meath West,meath-west,Navan Rural,2ae19629-1892-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
