NEW CONSTITUENCY,ED_GUID,GEOGDESC,Still at school or college,Other education not ceased,Education ceased,Population aged 15 and over,Age under 15,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21 and over,Not stated
Carlow-Kilkenny,2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",39,9,277,325,13,15,11,26,29,10,14,96,63
Carlow-Kilkenny,2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",93,35,774,902,30,26,47,50,109,34,37,276,165
Carlow-Kilkenny,2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",48,15,417,480,16,11,33,36,48,32,12,106,123
Carlow-Kilkenny,2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",75,44,499,618,21,16,31,35,57,20,23,124,172
Carlow-Kilkenny,2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",41,25,303,369,17,13,31,26,45,14,12,78,67
Carlow-Kilkenny,2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",28,8,242,278,10,7,22,14,44,12,8,67,58
Carlow-Kilkenny,2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",22,6,190,218,10,6,16,16,21,3,10,50,58
Carlow-Kilkenny,2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",62,52,777,891,37,35,48,72,103,45,38,163,236
Carlow-Kilkenny,2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",49,4,344,397,19,13,27,45,52,16,26,132,14
Carlow-Kilkenny,2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",1665,1190,9938,12793,358,330,664,609,1321,491,433,2946,2786
Carlow-Kilkenny,2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",527,451,3395,4373,159,129,239,199,384,148,105,811,1221
Carlow-Kilkenny,2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",99,55,749,903,31,31,56,63,102,30,37,203,196
Carlow-Kilkenny,2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",81,36,762,879,50,53,70,57,82,27,33,186,204
Carlow-Kilkenny,2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",49,26,380,455,31,19,34,24,50,18,28,89,87
Carlow-Kilkenny,2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",16,12,147,175,10,6,10,9,16,5,6,37,48
Carlow-Kilkenny,2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",52,24,372,448,19,7,47,33,61,11,15,100,79
Carlow-Kilkenny,2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",95,51,794,940,38,30,48,38,91,48,31,208,262
Carlow-Kilkenny,2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",57,31,551,639,34,25,36,32,55,20,22,145,182
Carlow-Kilkenny,2ae19629-1874-13a3-e055-000000000001,"Garryhill, Carlow",60,13,445,518,29,23,31,40,63,15,23,115,106
Carlow-Kilkenny,2ae19629-187d-13a3-e055-000000000001,"Glynn, Carlow",29,15,261,305,16,12,26,20,34,12,13,77,51
Carlow-Kilkenny,2ae19629-1a59-13a3-e055-000000000001,"Graigue Urban, Carlow",157,107,1142,1406,68,43,77,81,111,37,25,210,490
Carlow-Kilkenny,2ae19629-187e-13a3-e055-000000000001,"Grangeford, Carlow",50,27,406,483,20,16,26,24,52,21,18,101,128
Carlow-Kilkenny,2ae19629-187f-13a3-e055-000000000001,"Hacketstown, Carlow",95,70,793,958,37,48,61,78,102,37,24,140,266
Carlow-Kilkenny,2ae19629-1887-13a3-e055-000000000001,"Haroldstown, Carlow",24,18,211,253,9,10,15,16,27,9,8,48,69
Carlow-Kilkenny,2ae19629-1888-13a3-e055-000000000001,"Johnstown, Carlow",70,9,418,497,26,13,41,27,75,16,25,130,65
Carlow-Kilkenny,2ae19629-1889-13a3-e055-000000000001,"Kellistown, Carlow",93,32,699,824,30,33,47,64,97,44,29,210,145
Carlow-Kilkenny,2ae19629-188a-13a3-e055-000000000001,"Kilbride, Carlow",37,17,319,373,17,14,32,26,37,18,8,84,83
Carlow-Kilkenny,2ae19629-1895-13a3-e055-000000000001,"Killedmond, Carlow",31,17,318,366,18,16,31,30,40,9,6,107,61
Carlow-Kilkenny,2ae19629-1896-13a3-e055-000000000001,"Killerrig, Carlow",54,5,264,323,14,10,23,20,34,18,17,97,31
Carlow-Kilkenny,2ae19629-1897-13a3-e055-000000000001,"Kineagh, Carlow",31,14,262,307,18,15,26,19,31,8,17,67,61
Carlow-Kilkenny,2ae19629-18a0-13a3-e055-000000000001,"Kyle, Carlow",37,7,247,291,18,11,22,24,28,17,13,67,47
Carlow-Kilkenny,2ae19629-18a1-13a3-e055-000000000001,"Leighlinbridge, Carlow",153,63,1175,1391,57,43,97,79,136,67,54,351,291
Carlow-Kilkenny,2ae19629-18a2-13a3-e055-000000000001,"Marley, Carlow",38,12,272,322,18,8,24,17,36,15,16,73,65
Carlow-Kilkenny,2ae19629-18ab-13a3-e055-000000000001,"Muinebeag Rural, Carlow",53,28,490,571,22,24,36,43,64,18,22,145,116
Carlow-Kilkenny,2ae19629-18ac-13a3-e055-000000000001,"Muinebeag Urban, Carlow",208,189,1960,2357,137,95,153,168,269,95,69,373,601
Carlow-Kilkenny,2ae19629-18ad-13a3-e055-000000000001,"Myshall, Carlow",50,25,389,464,22,18,32,35,52,19,22,83,106
Carlow-Kilkenny,2ae19629-18ae-13a3-e055-000000000001,"Nurney, Carlow",85,43,618,746,31,27,55,47,93,29,22,175,139
Carlow-Kilkenny,2ae19629-18b7-13a3-e055-000000000001,"Oldleighlin, Carlow",60,14,392,466,19,22,36,25,46,20,16,135,73
Carlow-Kilkenny,2ae19629-18b8-13a3-e055-000000000001,"Rahill, Carlow",59,30,535,624,31,26,51,49,62,22,28,142,124
Carlow-Kilkenny,2ae19629-18b9-13a3-e055-000000000001,"Rathanna, Carlow",9,2,101,112,8,4,7,6,11,4,5,24,32
Carlow-Kilkenny,2ae19629-18c2-13a3-e055-000000000001,"Rathornan, Carlow",45,15,313,373,36,16,28,27,50,14,10,57,75
