NEW CONSTITUENCY,ED_GUID,GEOGDESC,Owned with mortgage or loan (Households),Owned with mortgage or loan (Persons),Owned outright (Households),Owned outright (Persons),Rented from private landlord (Households),Rented from private landlord (Persons),Rented from Local Authority (Households),Rented from Local Authority (Persons),Rented from voluntary/co-operative housing body (Households),Rented from voluntary/co-operative housing body (Persons),Occupied free of rent (Households),Occupied free of rent (Persons),Not stated (Households),Not stated (Persons),Total (Households),Total (Persons)
Carlow-Kilkenny,2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",69,248,52,135,6,19,1,3,0,0,1,3,6,19,135,427
Carlow-Kilkenny,2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",133,469,181,455,50,115,7,26,1,7,7,23,15,35,394,1130
Carlow-Kilkenny,2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",69,266,99,247,6,11,10,31,1,1,7,11,16,41,208,608
Carlow-Kilkenny,2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",77,270,83,213,41,136,17,58,2,7,11,22,20,60,251,766
Carlow-Kilkenny,2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",53,186,85,217,6,16,2,5,0,0,1,3,9,18,156,445
Carlow-Kilkenny,2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",48,170,64,161,3,5,1,4,0,0,2,4,2,8,120,352
Carlow-Kilkenny,2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",38,143,45,111,6,21,0,0,0,0,4,4,2,7,95,286
Carlow-Kilkenny,2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",80,279,170,387,50,121,61,174,12,34,10,22,8,25,391,1042
Carlow-Kilkenny,2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",79,290,67,168,14,37,8,15,0,0,1,2,3,15,172,527
Carlow-Kilkenny,2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",1587,4932,1666,3714,1241,3708,714,2256,286,833,60,125,207,579,5761,16147
Carlow-Kilkenny,2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",225,641,574,1120,818,1842,280,566,62,153,36,73,157,350,2152,4745
Carlow-Kilkenny,2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",178,611,155,373,15,39,17,59,2,11,5,12,16,39,388,1144
Carlow-Kilkenny,2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",103,362,194,499,26,86,21,68,1,2,8,19,26,76,379,1112
Carlow-Kilkenny,2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",71,255,103,259,13,30,1,3,0,0,2,5,6,10,196,562
Carlow-Kilkenny,2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",21,82,40,96,3,9,3,5,0,0,2,4,6,16,75,212
Carlow-Kilkenny,2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",59,227,110,274,4,9,2,4,0,0,7,18,5,17,187,549
Carlow-Kilkenny,2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",113,411,170,413,71,209,14,41,0,0,15,31,35,108,418,1213
Carlow-Kilkenny,2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",106,380,100,273,30,98,18,53,1,3,6,16,14,32,275,855
Carlow-Kilkenny,2ae19629-1874-13a3-e055-000000000001,"Garryhill, Carlow",70,262,113,294,19,51,3,8,0,0,3,8,7,23,215,646
Carlow-Kilkenny,2ae19629-187d-13a3-e055-000000000001,"Glynn, Carlow",43,156,73,206,7,12,1,1,0,0,4,9,6,20,134,404
Carlow-Kilkenny,2ae19629-1a59-13a3-e055-000000000001,"Graigue Urban, Carlow",90,244,238,503,174,409,92,208,36,96,17,33,66,141,713,1634
Carlow-Kilkenny,2ae19629-187e-13a3-e055-000000000001,"Grangeford, Carlow",51,171,68,174,43,117,2,4,0,0,8,18,21,61,193,545
Carlow-Kilkenny,2ae19629-187f-13a3-e055-000000000001,"Hacketstown, Carlow",116,418,183,445,44,107,64,183,5,16,6,12,17,49,435,1230
Carlow-Kilkenny,2ae19629-1887-13a3-e055-000000000001,"Haroldstown, Carlow",32,126,52,134,5,25,2,10,0,0,2,2,7,19,100,316
Carlow-Kilkenny,2ae19629-1888-13a3-e055-000000000001,"Johnstown, Carlow",59,217,118,304,8,24,2,14,0,0,8,21,12,37,207,617
Carlow-Kilkenny,2ae19629-1889-13a3-e055-000000000001,"Kellistown, Carlow",112,397,175,437,14,31,34,81,1,5,7,15,11,32,354,998
Carlow-Kilkenny,2ae19629-188a-13a3-e055-000000000001,"Kilbride, Carlow",43,158,81,207,16,42,6,11,0,0,0,0,18,46,164,464
Carlow-Kilkenny,2ae19629-1895-13a3-e055-000000000001,"Killedmond, Carlow",38,139,97,258,13,32,4,9,0,0,3,9,3,13,158,460
Carlow-Kilkenny,2ae19629-1896-13a3-e055-000000000001,"Killerrig, Carlow",44,174,60,182,6,21,0,0,0,0,3,9,5,12,118,398
Carlow-Kilkenny,2ae19629-1897-13a3-e055-000000000001,"Kineagh, Carlow",44,153,69,180,7,22,0,0,0,0,4,9,8,15,132,379
Carlow-Kilkenny,2ae19629-18a0-13a3-e055-000000000001,"Kyle, Carlow",29,116,78,210,8,21,2,7,0,0,2,5,2,5,121,364
Carlow-Kilkenny,2ae19629-18a1-13a3-e055-000000000001,"Leighlinbridge, Carlow",149,506,297,703,89,199,40,113,28,47,14,29,17,46,634,1643
Carlow-Kilkenny,2ae19629-18a2-13a3-e055-000000000001,"Marley, Carlow",48,184,64,181,6,18,0,0,0,0,3,9,9,35,130,427
Carlow-Kilkenny,2ae19629-18ab-13a3-e055-000000000001,"Muinebeag Rural, Carlow",77,294,135,356,13,35,2,8,1,3,3,6,6,18,237,720
Carlow-Kilkenny,2ae19629-18ac-13a3-e055-000000000001,"Muinebeag Urban, Carlow",230,755,437,918,148,393,240,678,59,133,11,20,25,52,1150,2949
Carlow-Kilkenny,2ae19629-18ad-13a3-e055-000000000001,"Myshall, Carlow",80,274,86,189,10,33,31,85,2,5,3,6,6,18,218,610
Carlow-Kilkenny,2ae19629-18ae-13a3-e055-000000000001,"Nurney, Carlow",90,315,164,464,10,29,8,25,0,0,6,12,13,38,291,883
Carlow-Kilkenny,2ae19629-18b7-13a3-e055-000000000001,"Oldleighlin, Carlow",74,296,90,226,11,21,12,38,1,2,3,5,7,18,198,606
Carlow-Kilkenny,2ae19629-18b8-13a3-e055-000000000001,"Rahill, Carlow",98,352,118,291,33,97,2,4,2,13,7,16,11,29,271,802
Carlow-Kilkenny,2ae19629-18b9-13a3-e055-000000000001,"Rathanna, Carlow",17,52,29,64,3,7,1,5,0,0,1,3,1,2,52,133
Carlow-Kilkenny,2ae19629-18c2-13a3-e055-000000000001,"Rathornan, Carlow",39,136,79,227,4,8,5,9,0,0,4,4,2,9,133,393
Carlow-Kilkenny,2ae19629-18c3-13a3-e055-000000000001,"Rathrush, Carlow",159,606,129,347,15,53,6,16,0,0,4,5,33,106,346,1133
Carlow-Kilkenny,2ae19629-18c4-13a3-e055-000000000001,"Rathvilly, Carlow",92,322,128,278,31,89,60,187,12,30,5,8,9,19,337,933
Carlow-Kilkenny,2ae19629-1816-13a3-e055-000000000001,"Ridge, Carlow",42,163,36,97,2,3,2,5,0,0,1,2,8,30,91,300
Carlow-Kilkenny,2ae19629-1817-13a3-e055-000000000001,"Shangarry, Carlow",68,266,86,231,5,14,3,7,0,0,3,5,21,57,186,580
