NEW CONSTITUENCY,ED_GUID,GEOGDESC,At work,Looking for first regular job,Short term unemployed,Long term unemployed,Student,Looking after home/family,Retired,Unable to work due to permanent sickness or disability,Other,Total
Carlow-Kilkenny,2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",211,0,0,5,39,20,38,12,0,325
Carlow-Kilkenny,2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",509,6,18,17,93,58,156,42,3,902
Carlow-Kilkenny,2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",284,1,5,11,48,40,62,27,2,480
Carlow-Kilkenny,2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",347,2,8,20,75,42,84,36,4,618
Carlow-Kilkenny,2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",199,1,10,10,41,39,55,14,0,369
Carlow-Kilkenny,2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",168,0,1,3,28,25,37,12,4,278
Carlow-Kilkenny,2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",132,1,1,3,22,18,28,11,2,218
Carlow-Kilkenny,2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",416,8,15,31,62,74,233,50,2,891
Carlow-Kilkenny,2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",244,2,2,6,49,17,55,22,0,397
Carlow-Kilkenny,2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",6793,156,226,486,1665,942,1709,763,53,12793
Carlow-Kilkenny,2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",2021,69,120,218,527,269,716,407,26,4373
Carlow-Kilkenny,2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",553,10,10,14,99,47,136,32,2,903
Carlow-Kilkenny,2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",491,2,8,17,81,83,155,41,1,879
Carlow-Kilkenny,2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",269,1,6,7,49,31,77,13,2,455
Carlow-Kilkenny,2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",107,2,2,4,16,13,26,5,0,175
Carlow-Kilkenny,2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",244,2,1,8,52,40,78,22,1,448
Carlow-Kilkenny,2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",552,4,20,29,95,54,157,27,2,940
Carlow-Kilkenny,2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",372,3,12,12,57,52,89,42,0,639
Carlow-Kilkenny,2ae19629-1874-13a3-e055-000000000001,"Garryhill, Carlow",284,1,8,14,60,42,80,26,3,518
Carlow-Kilkenny,2ae19629-187d-13a3-e055-000000000001,"Glynn, Carlow",182,1,4,7,29,21,49,11,1,305
Carlow-Kilkenny,2ae19629-1a59-13a3-e055-000000000001,"Graigue Urban, Carlow",665,12,29,67,157,112,239,118,7,1406
Carlow-Kilkenny,2ae19629-187e-13a3-e055-000000000001,"Grangeford, Carlow",269,2,9,6,50,32,88,16,11,483
Carlow-Kilkenny,2ae19629-187f-13a3-e055-000000000001,"Hacketstown, Carlow",521,8,13,37,95,78,144,54,8,958
Carlow-Kilkenny,2ae19629-1887-13a3-e055-000000000001,"Haroldstown, Carlow",150,2,2,5,24,24,30,16,0,253
Carlow-Kilkenny,2ae19629-1888-13a3-e055-000000000001,"Johnstown, Carlow",259,2,2,7,70,41,100,14,2,497
Carlow-Kilkenny,2ae19629-1889-13a3-e055-000000000001,"Kellistown, Carlow",456,5,8,7,93,72,135,47,1,824
Carlow-Kilkenny,2ae19629-188a-13a3-e055-000000000001,"Kilbride, Carlow",215,2,4,6,37,27,64,15,3,373
Carlow-Kilkenny,2ae19629-1895-13a3-e055-000000000001,"Killedmond, Carlow",219,3,7,12,31,31,53,10,0,366
Carlow-Kilkenny,2ae19629-1896-13a3-e055-000000000001,"Killerrig, Carlow",191,0,4,3,54,19,41,10,1,323
Carlow-Kilkenny,2ae19629-1897-13a3-e055-000000000001,"Kineagh, Carlow",193,1,3,4,31,23,35,17,0,307
Carlow-Kilkenny,2ae19629-18a0-13a3-e055-000000000001,"Kyle, Carlow",163,0,3,3,37,29,51,5,0,291
Carlow-Kilkenny,2ae19629-18a1-13a3-e055-000000000001,"Leighlinbridge, Carlow",785,6,27,42,153,80,219,72,7,1391
Carlow-Kilkenny,2ae19629-18a2-13a3-e055-000000000001,"Marley, Carlow",194,0,1,8,38,33,36,11,1,322
Carlow-Kilkenny,2ae19629-18ab-13a3-e055-000000000001,"Muinebeag Rural, Carlow",322,3,1,14,53,44,100,33,1,571
Carlow-Kilkenny,2ae19629-18ac-13a3-e055-000000000001,"Muinebeag Urban, Carlow",1137,23,44,76,208,252,424,183,10,2357
Carlow-Kilkenny,2ae19629-18ad-13a3-e055-000000000001,"Myshall, Carlow",259,3,6,13,50,46,64,20,3,464
Carlow-Kilkenny,2ae19629-18ae-13a3-e055-000000000001,"Nurney, Carlow",406,5,11,22,85,76,107,30,4,746
Carlow-Kilkenny,2ae19629-18b7-13a3-e055-000000000001,"Oldleighlin, Carlow",267,2,4,7,60,47,57,17,5,466
Carlow-Kilkenny,2ae19629-18b8-13a3-e055-000000000001,"Rahill, Carlow",373,2,2,12,59,57,91,27,1,624
Carlow-Kilkenny,2ae19629-18b9-13a3-e055-000000000001,"Rathanna, Carlow",71,1,0,1,9,9,19,2,0,112
Carlow-Kilkenny,2ae19629-18c2-13a3-e055-000000000001,"Rathornan, Carlow",174,3,5,8,45,26,90,21,1,373
Carlow-Kilkenny,2ae19629-18c3-13a3-e055-000000000001,"Rathrush, Carlow",535,7,13,12,135,59,98,35,1,895
Carlow-Kilkenny,2ae19629-18c4-13a3-e055-000000000001,"Rathvilly, Carlow",379,5,12,31,67,72,94,49,4,713
Carlow-Kilkenny,2ae19629-1816-13a3-e055-000000000001,"Ridge, Carlow",140,0,2,3,39,20,24,16,1,245
Carlow-Kilkenny,2ae19629-1817-13a3-e055-000000000001,"Shangarry, Carlow",271,4,6,7,53,32,58,14,2,447
Carlow-Kilkenny,2ae19629-1818-13a3-e055-000000000001,"Sliguff, Carlow",256,1,4,11,53,34,73,17,1,450
Carlow-Kilkenny,2ae19629-1820-13a3-e055-000000000001,"Tankardstown, Carlow",225,3,3,3,38,31,53,19,1,376
Carlow-Kilkenny,2ae19629-1821-13a3-e055-000000000001,"Templepeter, Carlow",226,1,5,6,54,26,60,12,2,392
Carlow-Kilkenny,2ae19629-1822-13a3-e055-000000000001,"Tiknock, Carlow",156,1,2,6,31,17,57,12,1,283
Carlow-Kilkenny,2ae19629-1823-13a3-e055-000000000001,"Tinnahinch, Carlow",285,1,4,17,61,45,123,27,2,565
Carlow-Kilkenny,2ae19629-1a55-13a3-e055-000000000001,"Tullow Rural, Carlow",461,1,12,17,56,61,161,35,5,809
Carlow-Kilkenny,2ae19629-1a56-13a3-e055-000000000001,"Tullow Urban, Carlow",1765,42,78,130,313,273,424,281,11,3317
Carlow-Kilkenny,2ae19629-1a57-13a3-e055-000000000001,"Tullowbeg, Carlow",278,6,5,24,44,42,68,21,0,488
Carlow-Kilkenny,2ae19629-1a58-13a3-e055-000000000001,"Williamstown, Carlow",148,0,2,11,29,15,49,9,0,263
Dublin Central,2ae19629-1ceb-13a3-e055-000000000001,"Arran Quay A, Dublin City",1054,15,34,49,214,35,147,60,6,1614
