source_id,source_name,source_provider,source_type,pages_used_on,source_data_location,source_endpoint_or_provenance,transformer_script_or_pipeline,derived_data_location,transformer_applied,site_build_consumes_derived_data,audit_notes
census-age-profile,SAP2022T1T1ED Census 2022 population by single year of age and sex,Central Statistics Office,API/programmatically retrieved,"People; Education; Transport",n/a,"CSO Small Area Population Statistics Table 1.1 / CensusHub2022_T1_1_ED; https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T1T1ED/JSON-stat/2.0/en",build-demographics-age.mjs -> build-browser-data.mjs,"src/data/demographics-age-2022.csv; src/data/derived/browser/demographics-age-2022.json",Yes,"Yes; browser JSON only","Transformer fetches and validates the CSO source, then joins the versioned ED-to-constituency mapping at src/data/source/electoral-district-constituency-2024.csv."
ed-constituency-mapping,Electoral-district to 2024 constituency mapping,Project-maintained reference mapping,Static/downloaded dataset,"Indirectly: People; Education; Transport",src/data/source/electoral-district-constituency-2024.csv,"Derived from the mapped ED age attachment in the project’s Observable source demographics notebook (https://observablehq.com/d/c17308f91ec2c26a), which identifies an earlier constituency_population_age@2.csv attachment uploaded 2024-07-05; the mapped refined_age_data@1.csv attachment was uploaded 2025-08-08. Introduced into this repository as a complete file in unreachable checkpoint 2081f699 (2026-07-16), then visible Expansion commit b8019ae (2026-07-17).",build-demographics-age.mjs,src/data/demographics-age-2022.csv,Yes,"Yes; only through the age-profile derivative","Required because the CSO age table identifies electoral districts but does not supply this project's constituency assignment. The notebook preserves the mapped result but not its generating overlay code. It does not match a simple ED-centroid boundary assignment, so it was likely created by a fuller overlay or manually corrected upstream process."
census-economic-status,SAP2022T8T1ED principal economic status,Central Statistics Office,API/programmatically retrieved,"People; Employment",n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T8T1ED/JSON-stat/2.0/en",build-principal-economic-status.mjs -> build-browser-data.mjs,src/data/principal-economic-status-2022.csv; src/data/derived/browser/principal-economic-status-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-irish-language,SAP2022T3T2ED Irish-speaking frequency,Central Statistics Office,API/programmatically retrieved,"People; Education",n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T3T2ED/JSON-stat/2.0/en",build-irish-speaking.mjs -> build-browser-data.mjs,src/data/irish-speaking-frequency-2022.csv; src/data/derived/browser/irish-speaking-frequency-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-disability,SAP2022T12T1ED disability,Central Statistics Office,API/programmatically retrieved,People,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T12T1ED/JSON-stat/2.0/en",build-disability.mjs -> build-browser-data.mjs,src/data/disability-2022.csv; src/data/derived/browser/disability-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-carers,SAP2022T12T2ED carers,Central Statistics Office,API/programmatically retrieved,People,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T12T2ED/JSON-stat/2.0/en",build-carers.mjs -> build-browser-data.mjs,src/data/carers-2022.csv; src/data/derived/browser/carers-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-household-composition,"SAP2022T5T2ED household size; SAP2022T5T1ED household type",Central Statistics Office,API/programmatically retrieved,People,n/a,"CSO PxStat JSON-stat endpoints for SAP2022T5T2ED and SAP2022T5T1ED",build-household-composition.mjs -> build-browser-data.mjs,src/data/household-composition-2022.csv; src/data/derived/browser/household-composition-2022.json,Yes,"Yes; browser JSON only",Also joins the static age profile and electoral-district geometry to validate and map EDs.
census-deprivation,2022 HP Deprivation Index,Haase-Pratschke / Pobal,Static/downloaded dataset,People,src/data/source/hp-deprivation-index-scores-2022.csv,"Versioned 2022 HP Deprivation Index snapshot",build-deprivation-index.mjs -> build-browser-data.mjs,src/data/deprivation-index-2022.csv; src/data/derived/browser/deprivation-index-2022.json,Yes,"Yes; browser JSON only",Joined to static age mapping and ED geometry.
census-education-qualification,SAP2022T10T4ED highest qualification,Central Statistics Office,API/programmatically retrieved,Education,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T10T4ED/JSON-stat/2.0/en",build-education-qualification.mjs -> build-browser-data.mjs,src/data/education-qualification-2022.csv; src/data/derived/browser/education-qualification-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-education-participation,"SAP2022T10T1ED age education ceased; SAP2022T10T2ED education not ceased",Central Statistics Office,API/programmatically retrieved,Education,n/a,"CSO PxStat JSON-stat endpoints for SAP2022T10T1ED and SAP2022T10T2ED",build-education-participation.mjs -> build-browser-data.mjs,src/data/education-participation-2022.csv; src/data/derived/browser/education-participation-2022.json,Yes,"Yes; browser JSON only",Also validates against age-profile and qualification outputs.
census-employment-industry,SAP2022T14T1ED employment by industry,Central Statistics Office,API/programmatically retrieved,Employment,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T14T1ED/JSON-stat/2.0/en",build-employment-industry.mjs -> build-browser-data.mjs,src/data/employment-industry-2022.csv; src/data/derived/browser/employment-industry-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-employment-occupation,SAP2022T13T1ED employment by occupation,Central Statistics Office,API/programmatically retrieved,Employment,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T13T1ED/JSON-stat/2.0/en",build-employment-occupation.mjs -> build-browser-data.mjs,src/data/employment-occupation-2022.csv; src/data/derived/browser/employment-occupation-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-working-from-home,SAP2022T11T4ED working from home,Central Statistics Office,API/programmatically retrieved,Employment,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T11T4ED/JSON-stat/2.0/en",build-working-from-home.mjs -> build-browser-data.mjs,src/data/working-from-home-2022.csv; src/data/derived/browser/working-from-home-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-household-income,GPIIA01 household income,Central Statistics Office,API/programmatically retrieved,Employment,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/GPIIA01/JSON-stat/2.0/en",build-household-income.mjs -> build-browser-data.mjs,src/data/household-income-2022.csv; src/data/derived/browser/household-income-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-housing-tenure,SAP2022T6T3ED household tenure,Central Statistics Office,API/programmatically retrieved,Housing,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T6T3ED/JSON-stat/2.0/en",build-housing-tenure.mjs -> build-browser-data.mjs,src/data/housing-tenure-2022.csv; src/data/derived/browser/housing-tenure-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-housing-stock,F2095 housing stock and vacancy,Central Statistics Office,API/programmatically retrieved,Housing,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/F2095/JSON-stat/2.0/en",build-housing-stock.mjs -> build-browser-data.mjs,src/data/housing-stock-2022.csv; src/data/derived/browser/housing-stock-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-adults-with-parents,F3055 adults living with parents,Central Statistics Office,API/programmatically retrieved,Housing,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/F3055/JSON-stat/2.0/en",build-adults-living-with-parents.mjs -> build-browser-data.mjs,src/data/adults-living-with-parents-2022.csv; src/data/derived/browser/adults-living-with-parents-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-renewable-energy,SAP2022T6T10ED household renewable energy,Central Statistics Office,API/programmatically retrieved,Housing,n/a,"https://ws.cso.ie/public/api.restful/PxStat.Data.Cube_API.ReadDataset/SAP2022T6T10ED/JSON-stat/2.0/en",build-renewable-energy-households.mjs -> build-browser-data.mjs,src/data/renewable-energy-households-2022.csv; src/data/derived/browser/renewable-energy-households-2022.json,Yes,"Yes; browser JSON only",Refresh group: census.
census-transport-commuting,"SAP2022T11T1ED means; SAP2022T11T2ED departure time; SAP2022T11T3ED journey time",Central Statistics Office,API/programmatically retrieved,Transport,n/a,"CSO PxStat JSON-stat endpoints for SAP2022T11T1ED; SAP2022T11T2ED; SAP2022T11T3ED",build-transport-commuting.mjs,src/data/transport-commuting-2022.json,Yes,"Yes; page uses derived JSON",Not included in the browser-data conversion list; page imports its JSON directly.
boundary-constituencies,Dáil constituency boundaries,Tailte Éireann / Ordnance Survey Ireland,Static/downloaded dataset,"People; Education; Employment; Housing; Transport; all spotlight pages",src/data/geo/constituencies.json,"Inherited from the Election Explorer initial commit (76d1636, 2026-04-07); embedded attributes identify OSi as the capture source",Upstream simplification process not present in this repository,n/a,Yes,"No; pages use this static GeoJSON directly","A derived, versioned boundary asset. It is used directly by pages and as a spatial-join layer. The upstream source download and simplification settings should be recovered from Election Explorer or documented in a future boundary-refresh script."
