year,county,organisation,project_title,grant_category,amount_sought,amount_allocated,maximum_valid_grant,total_project_cost,pobal_index,latitude,longitude,national_governing_body_(organisation),sport_type,currency,allocation_(%_of_value_sought),allocation_(%_of_max_valid),allocation_(%_of_project_cost)
2020,Kildare,Ardclough GAA Club,Upgrade of playing facilities,Local,150000,150000,150000,215208.5,5,53.2892621771564,-6.57967368789672,GAA,Gaelic Games,Euro,100.00%,100.00%,69.70%
2020,Dublin,Ballyboden St Endas GAA Club,2020 - New Ladies Dressing Rooms [Change of Purpose - Natural Playing Surface Development],Local,150000,150000,150000,340500,8,53.2893598630593,-6.31670951843262,GAA,Gaelic Games,Euro,100.00%,100.00%,44.05%
2020,Kilkenny,Ballyhale Shamrocks GAA Club,Ballyhale Shamrocks Training Astro Facility,Local,150000,150000,150000,158890,1,52.4688870437444,-7.20430612564087,GAA,Gaelic Games,Euro,100.00%,100.00%,94.40%
2020,Offaly,Ballyskenagh/ Killavilla GAA Club,Ballyskenagh/ Killavilla GAA Club,Local,150000,150000,150000,191345,-8,52.9589026002317,-7.84212515013303,GAA,Gaelic Games,Euro,100.00%,100.00%,78.39%
2020,Offaly,Birr GAA Club,Ball Wall & All Weather Astro (40 x 20 metres),Local,150000,150000,150000,175000,-7,52.9067304633328,-7.77477952369213,GAA,Gaelic Games,Euro,100.00%,100.00%,85.71%
2020,Kerry,Brosna GAA,**Construction of new Fitness Studio,Local,150000,150000,150000,236700,-14,52.3112755562515,-9.26067000079492,GAA,Gaelic Games,Euro,100.00%,100.00%,63.37%
2020,Westmeath,Bunbrosna GAA Club,Bunbrosna GAA Upgrade of Facilities Programme,Local,150000,150000,150000,185941.7,0,53.5870026512818,-7.4458122253418,GAA,Gaelic Games,Euro,100.00%,100.00%,80.67%
2020,Galway,Caltra GAA Club,LED Floodlighting for Training Pitch,Local,150000,150000,150000,175300.75,-2,53.4349222462152,-8.43052374155248,GAA,Gaelic Games,Euro,100.00%,100.00%,85.57%
2020,Cork,Carrigaline GAA Club,Pitch 4 Surface Upgrade & Floodlighting,Local,150000,150000,150000,256584,3,51.81158,-8.37854,GAA,Gaelic Games,Euro,100.00%,100.00%,58.46%
2020,Cork,Castlelyons GAA Club,New Pitch Development,Local,150000,150000,150000,230366,3,52.088657550909,-8.23087123615158,GAA,Gaelic Games,Euro,100.00%,100.00%,65.11%
2020,Meath,Castletown GFC,!Pitch Redevelopment and Walking/Jogging Track,Local,150000,150000,150000,192803.44,-9,53.764001484385,-6.70764470414724,GAA,Gaelic Games,Euro,100.00%,100.00%,77.80%
2020,Kildare,Celbridge GAA Club,Celbridge GAA 2021 -2026 Strategic Plan,Local,150000,150000,150000,203660.07,10,53.3318724923502,-6.52712345123291,GAA,Gaelic Games,Euro,100.00%,100.00%,73.65%
2020,Mayo,Charlestown Sarsfields GAA Club,Playing Pitch Charlestown GAA Club (CGAA).,Local,150000,150000,150000,264000,-13,53.9539668672652,-8.81995511212153,GAA,Gaelic Games,Euro,100.00%,100.00%,56.82%
2020,Kildare,Clane GAA Club,R*LED Floodlighting & Pitch Fencing,Local,150000,150000,150000,275836.22,-1,53.2897190130461,-6.69260501861572,GAA,Gaelic Games,Euro,100.00%,100.00%,54.38%
2020,Galway,Clarinbridge GAA,Clubhouse and Community Outdoor Classroom,Local,150000,150000,150000,287768,9,53.2304954746178,-8.87645959854126,GAA,Gaelic Games,Euro,100.00%,100.00%,52.13%
2020,Offaly,Clonbullogue gaa club,Clonbullogue GAA sports Gym and equipment fit out,Local,150000,150000,150000,204949,-10,53.2628513939173,-7.08343505859375,GAA,Gaelic Games,Euro,100.00%,100.00%,73.19%
2020,Westmeath,Clonkill GAA Club,! Clonkill GAA Club Facilities upgrade,Local,150000,150000,150000,237360.91,2,53.5720464090061,-7.27578163146973,GAA,Gaelic Games,Euro,100.00%,100.00%,63.19%
2020,Wicklow,Coolkenno Sports Field Ltd,Coolkenno Sports Field Indoor Gymnasium,Local,150000,150000,150000,182759.01,-6,52.7785863463967,-6.62172291712907,GAA,Gaelic Games,Euro,100.00%,100.00%,82.08%
2020,Westmeath,Crookedwood GAA Club,New Club Dressing Rooms,Local,150000,150000,150000,352628,-1,53.6020888883073,-7.28335618972778,GAA,Gaelic Games,Euro,100.00%,100.00%,42.54%
2020,Cork,Douglas Hurling & Football Club,Floodlights for Pitches & Ball Wall with astro,Local,150000,150000,150000,319411.7,2,51.8744839930856,-8.44281077384949,GAA,Gaelic Games,Euro,100.00%,100.00%,46.96%
2020,Tipperary,Drom & Inch Gaa Club,Develop synthetic grass training area 85mx35m,Local,150000,150000,150000,221000,-3,52.7190084902182,-7.91144371032715,GAA,Gaelic Games,Euro,100.00%,100.00%,67.87%
2020,Louth,Dundalk Gaels GFC,2020 - Floodlighting and Ball Wall,Local,150000,150000,150000,262000,-7,53.9988623951743,-6.40111811731869,GAA,Gaelic Games,Euro,100.00%,100.00%,57.25%
2020,Donegal,Dungloe GAA (CLG An Clochán Liath),Dungloe GAA Training Pitch,Local,150000,150000,150000,565717,-9,54.9529061817724,-8.35233489700317,GAA,Gaelic Games,Euro,100.00%,100.00%,26.52%
2020,Kilkenny,Emeralds G.A.A.,Wallball/Astroturf/Natural Surface Training Pitch,Local,150000,150000,150000,160850,-13,52.7252858004599,-7.57678985595703,GAA,Gaelic Games,Euro,100.00%,100.00%,93.25%
2020,Clare,Ennis National School,"Ennis N.S. Multi-Use, All-Weather Facility",Local,150000,150000,150000,305742,-9,52.8301376687357,-9.00132179260254,GAA,Gaelic Games,Euro,100.00%,100.00%,49.06%
2020,Dublin,Fingallians GAA,2020 - Fingallians Allweather and Machinery Refresh,Local,150000,150000,150000,239757.5,1,53.4660367324337,-6.21342309263604,GAA,Gaelic Games,Euro,100.00%,100.00%,62.56%
2020,Dublin,Garda GAA Club (Westmanstown Gaels),2020 - Changing Room Facilities,Local,150000,150000,150000,265675,4,53.3793591416124,-6.44384622573853,GAA,Gaelic Games,Euro,100.00%,100.00%,56.46%
2020,Wicklow,Glenealy Hurling Club,Glenealy Gaa Development,Local,150000,150000,150000,174648,1,52.4746765903222,-7.08176175781249,GAA,Gaelic Games,Euro,100.00%,100.00%,85.89%
2020,Galway,Glinsk GAA Club,Glinsk Community Development,Local,150000,150000,150000,175998.13,-5,53.6525875370896,-8.45436065943894,GAA,Gaelic Games,Euro,100.00%,100.00%,85.23%
2020,Louth,Glyde Rangers GFC,Main Pitch; Training Pitch and walkway lighting,Local,150000,150000,150000,176806.9,-14,53.9174421439594,-6.54692888259888,GAA,Gaelic Games,Euro,100.00%,100.00%,84.84%
2020,Tipperary,J.K. Brackens GAA Club,JK Brackens GAA Club SCP Application 2021,Local,150000,150000,150000,245612,-19,52.7980132337313,-7.83653497695923,GAA,Gaelic Games,Euro,100.00%,100.00%,61.07%
2020,Wexford,Kilanerin/Ballyfad GAA Club,Construction of New Changing Room Facilities,Local,150000,150000,150000,174066,-1,52.7349,-6.2852,GAA,Gaelic Games,Euro,100.00%,100.00%,86.17%
2020,Wicklow,Kilbride GAA (Wicklow),Club House Construction including Public Toilets,Local,150000,150000,150000,182500,5,53.1935310247457,-6.47002900668144,GAA,Gaelic Games,Euro,100.00%,100.00%,82.19%
2020,Kildare,Kilcock GAA,Kilcock GAA installation of Walkway & Skillswall,Local,150000,150000,150000,163648.39,8,53.3954597210233,-6.66698455810547,GAA,Gaelic Games,Euro,100.00%,100.00%,91.66%
