NEW CONSTITUENCY,ED_GUID,GEOGDESC,No formal education,Primary education,Lower secondary,Upper secondary,Technical or vocational qualification,Advanced certificate/Completed apprenticeship,Higher certificate,Ordinary bachelor degree or national diploma,"Honours bachelor degree, professional qualification or both",Postgraduate diploma or degree,Doctorate(Ph.D) or higher,Not stated,Total
Carlow-Kilkenny,2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",3,17,39,37,27,24,17,19,51,29,1,13,277
Carlow-Kilkenny,2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",6,54,95,123,60,50,67,74,134,92,6,13,774
Carlow-Kilkenny,2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",11,27,72,67,36,29,30,27,53,39,3,23,417
Carlow-Kilkenny,2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",8,36,64,82,39,37,30,44,43,44,3,69,499
Carlow-Kilkenny,2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",4,28,52,55,32,24,19,22,35,18,1,13,303
Carlow-Kilkenny,2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",9,25,32,39,18,25,26,18,27,20,0,3,242
Carlow-Kilkenny,2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",6,19,39,35,12,13,17,10,22,13,3,1,190
Carlow-Kilkenny,2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",15,61,135,150,66,68,48,46,54,54,4,76,777
Carlow-Kilkenny,2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",2,23,47,62,27,32,24,27,58,38,2,2,344
Carlow-Kilkenny,2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",166,646,1442,1820,980,597,604,755,1251,917,95,665,9938
Carlow-Kilkenny,2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",102,332,535,580,308,171,164,199,320,241,34,409,3395
Carlow-Kilkenny,2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",23,58,141,136,64,47,52,57,87,65,2,17,749
Carlow-Kilkenny,2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",17,91,144,124,53,57,41,46,87,56,3,43,762
Carlow-Kilkenny,2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",10,39,63,50,42,45,24,17,44,24,4,18,380
Carlow-Kilkenny,2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",5,23,25,16,13,6,10,4,17,17,3,8,147
Carlow-Kilkenny,2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",3,43,60,69,30,35,24,23,52,26,1,6,372
Carlow-Kilkenny,2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",12,74,116,140,62,70,36,49,90,65,2,78,794
Carlow-Kilkenny,2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",10,51,104,87,44,31,36,41,75,42,1,29,551
