NEW CONSTITUENCY,ED_GUID,GEOGDESC,Median Gross Household Income,Mean Gross Household Income,Ireland Median Gross Household Income,Ireland Mean Gross Household Income
Carlow-Kilkenny,2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",75000,81184,60123,78508
Carlow-Kilkenny,2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",70226,82461,60123,78508
Carlow-Kilkenny,2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",63819,77472,60123,78508
Carlow-Kilkenny,2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",55475,69954,60123,78508
Carlow-Kilkenny,2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",63022,74473,60123,78508
Carlow-Kilkenny,2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",69034,74366,60123,78508
Carlow-Kilkenny,2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",55884,70523,60123,78508
Carlow-Kilkenny,2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",49362,60326,60123,78508
Carlow-Kilkenny,2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",84318,90626,60123,78508
Carlow-Kilkenny,2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",53687,65303,60123,78508
Carlow-Kilkenny,2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",38222,48776,60123,78508
Carlow-Kilkenny,2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",65703,78500,60123,78508
Carlow-Kilkenny,2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",57680,67852,60123,78508
Carlow-Kilkenny,2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",64741,77123,60123,78508
Carlow-Kilkenny,2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",47284,58092,60123,78508
Carlow-Kilkenny,2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",58143,68849,60123,78508
Carlow-Kilkenny,2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",56192,67775,60123,78508
Carlow-Kilkenny,2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",65175,71658,60123,78508
Carlow-Kilkenny,2ae19629-1874-13a3-e055-000000000001,"Garryhill, Carlow",62586,80241,60123,78508
Carlow-Kilkenny,2ae19629-187d-13a3-e055-000000000001,"Glynn, Carlow",57051,71475,60123,78508
Carlow-Kilkenny,2ae19629-1a59-13a3-e055-000000000001,"Graigue Urban, Carlow",36299,44259,60123,78508
Carlow-Kilkenny,2ae19629-187e-13a3-e055-000000000001,"Grangeford, Carlow",74915,83448,60123,78508
Carlow-Kilkenny,2ae19629-187f-13a3-e055-000000000001,"Hacketstown, Carlow",51475,61800,60123,78508
Carlow-Kilkenny,2ae19629-1887-13a3-e055-000000000001,"Haroldstown, Carlow",60444,74338,60123,78508
Carlow-Kilkenny,2ae19629-1888-13a3-e055-000000000001,"Johnstown, Carlow",69140,89367,60123,78508
Carlow-Kilkenny,2ae19629-1889-13a3-e055-000000000001,"Kellistown, Carlow",63836,76376,60123,78508
Carlow-Kilkenny,2ae19629-188a-13a3-e055-000000000001,"Kilbride, Carlow",63545,77292,60123,78508
Carlow-Kilkenny,2ae19629-1895-13a3-e055-000000000001,"Killedmond, Carlow",57449,69698,60123,78508
Carlow-Kilkenny,2ae19629-1896-13a3-e055-000000000001,"Killerrig, Carlow",89364,109837,60123,78508
Carlow-Kilkenny,2ae19629-1897-13a3-e055-000000000001,"Kineagh, Carlow",68057,77051,60123,78508
Carlow-Kilkenny,2ae19629-18a0-13a3-e055-000000000001,"Kyle, Carlow",59018,73287,60123,78508
Carlow-Kilkenny,2ae19629-18a1-13a3-e055-000000000001,"Leighlinbridge, Carlow",51553,68802,60123,78508
Carlow-Kilkenny,2ae19629-18a2-13a3-e055-000000000001,"Marley, Carlow",69985,71939,60123,78508
Carlow-Kilkenny,2ae19629-18ab-13a3-e055-000000000001,"Muinebeag Rural, Carlow",73190,81611,60123,78508
Carlow-Kilkenny,2ae19629-18ac-13a3-e055-000000000001,"Muinebeag Urban, Carlow",43621,53230,60123,78508
Carlow-Kilkenny,2ae19629-18ad-13a3-e055-000000000001,"Myshall, Carlow",49928,63271,60123,78508
Carlow-Kilkenny,2ae19629-18ae-13a3-e055-000000000001,"Nurney, Carlow",66367,82647,60123,78508
Carlow-Kilkenny,2ae19629-18b7-13a3-e055-000000000001,"Oldleighlin, Carlow",62327,77311,60123,78508
Carlow-Kilkenny,2ae19629-18b8-13a3-e055-000000000001,"Rahill, Carlow",59729,71134,60123,78508
Carlow-Kilkenny,2ae19629-18b9-13a3-e055-000000000001,"Rathanna, Carlow",52288,68386,60123,78508
Carlow-Kilkenny,2ae19629-18c2-13a3-e055-000000000001,"Rathornan, Carlow",54868,83959,60123,78508
Carlow-Kilkenny,2ae19629-18c3-13a3-e055-000000000001,"Rathrush, Carlow",81030,85326,60123,78508
Carlow-Kilkenny,2ae19629-18c4-13a3-e055-000000000001,"Rathvilly, Carlow",47815,57552,60123,78508
Carlow-Kilkenny,2ae19629-1816-13a3-e055-000000000001,"Ridge, Carlow",68790,71316,60123,78508
Carlow-Kilkenny,2ae19629-1817-13a3-e055-000000000001,"Shangarry, Carlow",68954,82811,60123,78508
Carlow-Kilkenny,2ae19629-1818-13a3-e055-000000000001,"Sliguff, Carlow",59965,72277,60123,78508
Carlow-Kilkenny,2ae19629-1820-13a3-e055-000000000001,"Tankardstown, Carlow",68848,89474,60123,78508
Carlow-Kilkenny,2ae19629-1821-13a3-e055-000000000001,"Templepeter, Carlow",69272,84974,60123,78508
Carlow-Kilkenny,2ae19629-1822-13a3-e055-000000000001,"Tiknock, Carlow",61924,73323,60123,78508
Carlow-Kilkenny,2ae19629-1823-13a3-e055-000000000001,"Tinnahinch, Carlow",47322,61546,60123,78508
Carlow-Kilkenny,2ae19629-1a55-13a3-e055-000000000001,"Tullow Rural, Carlow",63435,78657,60123,78508
Carlow-Kilkenny,2ae19629-1a56-13a3-e055-000000000001,"Tullow Urban, Carlow",45072,51654,60123,78508
Carlow-Kilkenny,2ae19629-1a57-13a3-e055-000000000001,"Tullowbeg, Carlow",62998,70967,60123,78508
Carlow-Kilkenny,2ae19629-1a58-13a3-e055-000000000001,"Williamstown, Carlow",64123,75101,60123,78508
Dublin Central,2ae19629-1ceb-13a3-e055-000000000001,"Arran Quay A, Dublin City",63642,82213,60123,78508
Dublin Central,2ae19629-1cec-13a3-e055-000000000001,"Arran Quay B, Dublin City",64740,76271,60123,78508
Dublin Central,2ae19629-1ced-13a3-e055-000000000001,"Arran Quay C, Dublin City",65854,81163,60123,78508
Dublin Central,2ae19629-1cee-13a3-e055-000000000001,"Arran Quay D, Dublin City",54430,73101,60123,78508
Dublin Central,2ae19629-1cef-13a3-e055-000000000001,"Arran Quay E, Dublin City",60435,77624,60123,78508
Dublin West,2ae19629-1cf0-13a3-e055-000000000001,"Ashtown A, Dublin City",84641,98539,60123,78508
Dublin West,2ae19629-1d03-13a3-e055-000000000001,"Ashtown B, Dublin City",76806,97490,60123,78508
Dublin Bay North,2ae19629-1d04-13a3-e055-000000000001,"Ayrfield, Dublin City",55504,70333,60123,78508
Dublin Central,2ae19629-1d05-13a3-e055-000000000001,"Ballybough A, Dublin City",44926,58763,60123,78508
Dublin Central,2ae19629-1d06-13a3-e055-000000000001,"Ballybough B, Dublin City",50175,66149,60123,78508
Dublin North-West,2ae19629-1d08-13a3-e055-000000000001,"Ballygall A, Dublin City",56596,68337,60123,78508
