record_id,local_authority,register_reference,address_or_description,description,eircode,latitude,longitude,location_source,location_precision,source_x,source_y,source_coordinate_system,source_geometry_type,date_entered,valuation,source_url,source_date,retrieved_date,source_format,acquisition_method,extraction_quality
IE-DS-67acfac2eea396,Dublin City Council,DS864,"Templemore Avenue, site to rear of 63 Highfield Road, Dublin 6","Templemore Avenue, site to rear of 63 Highfield Road, Dublin 6",,53.313332,-6.2694465,authority_supplied_point,site_point,,,,Point,2025-10-20,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-ab8288c5c5b8b7,Dublin City Council,DS492,4A Brainboro Terrace Dublin 8; 4B Brainboro Terrace Dublin 8; 4 Brainboro Terrace Dublin 8 D08PC5E,"Brainboro Terrace, 4A & 4B, Dublin 8",D08 PC5E,53.3326805,-6.2791078,authority_supplied_point,site_point,,,,Point,2025-07-28,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-bf99d9e8323ce8,Dublin City Council,DS1247,58 Shelbourne Road Dublin 4,"Shelbourne Road, 58, Dublin 4",,53.3357104,-6.2322771,authority_supplied_point,site_point,,,,Point,2025-12-05,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-94d3e06408f7a9,Dublin City Council,DS1982,32 Coolgariff Road Dublin 9 D09AE62,"Coolgariff Road, 32, Beaumont, Dublin 9",D09 AE62,53.3891911,-6.2360362,authority_supplied_point,site_point,,,,Point,2025-09-16,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-29c46988b3287d,Dublin City Council,DS1516,2 Clanawley Road Dublin 5 D05E516,"Clanawley Road, 2, Clontarf, Dublin 5",D05 E516,53.3745693,-6.2081793,authority_supplied_point,site_point,,,,Point,2025-06-25,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-cad1bed0a8e394,Dublin City Council,DS1562,91 Raheny Road Raheny Dublin 5 D05F9W2,"Raheny Road, 91, Raheny, Dublin 5",D05 F9W2,53.3845919,-6.1756283,authority_supplied_point,site_point,,,,Point,2025-10-13,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-784aee2f0e8801,Dublin City Council,DS1650,12 Everton Avenue Dublin 7 D07RX5V,"Everton Avenue, 12, Cabra East, Dublin 7",D07 RX5V,53.3577945,-6.2906293,authority_supplied_point,site_point,,,,Point,2026-02-11,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-c0c1e96164b0f0,Dublin City Council,DS1662,487 Blackhorse Avenue Dublin 7 D07N6V2,"Blackhorse Avenue, 487, Ashtown, Dublin 7",D07 N6V2,53.365447,-6.3206002,authority_supplied_point,site_point,,,,Point,2025-09-02,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-684a905b81268c,Dublin City Council,DS1744,"Irishtown Road/Rosary Terrace, Site on laneway, Dublin 4","Irishtown Road/Rosary Terrace, Site on laneway, Dublin 4",,53.3400725,-6.2244286,authority_supplied_point,site_point,,,,Point,2025-07-10,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-7fc7722112558f,Dublin City Council,DS1753,231 South Circular Road Dublin 8 D08E6HH,"South Circular Road, 231, Dublin 8",D08 E6HH,53.3317156,-6.2854778,authority_supplied_point,site_point,,,,Point,2025-07-09,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-9db6d1bfba2428,Dublin City Council,DS2071,118 Dorset Street Upper Dublin 1 D01F2H7; Apartment 2 118 Dorset Street Upper Dublin 1 D01Y566; Apartment 1 118 Dorset Street Upper Dublin 1 D01DX07,"Dorset Street Upper, 118, Dublin 1",D01 F2H7,53.3545359,-6.2668219,authority_supplied_point,site_point,,,,Point,2025-09-02,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-90eea986b60921,Dublin City Council,DS2072,119 Dorset Street Upper Dublin 1 D01E7K4,"Dorset Street Upper, 119, Dublin 1",D01 E7K4,53.354511,-6.2668622,authority_supplied_point,site_point,,,,Point,2025-09-02,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-ca1a4e2f31e3b2,Dublin City Council,DS2096,17 Slievemore Road Crumlin Dublin 12 D12WT25,"Slievemore Road, 17, Crumlin, Dublin 12",D12 WT25,53.3273966,-6.3172943,authority_supplied_point,site_point,,,,Point,2025-06-26,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-b77be24fdda6cb,Dublin City Council,DS2006,7-9 Bath Street Dublin 4 D04E294,"Bath Street, 7-9, Dublin 4",D04 E294,53.3389747,-6.2224752,authority_supplied_point,site_point,,,,Point,2025-09-17,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-35dfe8d5aaf252,Dublin City Council,DS2010,48B-50A Drumcondra Road Lower Dublin 9,"Drumcondra Road Lower, 48B-50A, Dublin 9",,53.3637036,-6.2580151,authority_supplied_point,site_point,,,,Point,2025-09-30,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-0684bbd0a14a87,Dublin City Council,DS2043,"17 Kincora Road Dublin 3, D03AK59","Kincora Road, 17, Clontarf, Dublin 3",D03 AK59,53.3629754,-6.2010932,authority_supplied_point,site_point,,,,Point,2025-08-11,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
IE-DS-d430e738ce3567,Dublin City Council,DS2044,89 Ranelagh Dublin 6 D06K072,"Ranelagh, 89, Dublin 6",D06 K072,53.3239733,-6.252054,authority_supplied_point,site_point,,,,Point,2025-08-07,,https://data.smartdublin.ie/dataset/derelict-site-register,2026-06-24,2026-08-08,GeoJSON,official_download_or_api,native_machine_readable
