ED_GUID,GEOGID,GEOGDESC,NEW CONSTITUENCY
06698531-f7f7-4058-a15f-7d455ef0dd94,06698531-f7f7-4058-a15f-7d455ef0dd94,Killinagh/Teebane,Cavan-Monaghan
21a09083-a130-47d2-8690-23338d5ecf18,21a09083-a130-47d2-8690-23338d5ecf18,Castletown (north),Louth
23519126-bd85-4c40-a1e2-26c5d2b7e51c,23519126-bd85-4c40-a1e2-26c5d2b7e51c,Arigna/Drumkeeran/Killarga,Sligo-Leitrim
268c20e2-7574-4e64-ac7a-9383e368fcb7,268c20e2-7574-4e64-ac7a-9383e368fcb7,Derrylea/Derrycunlagh,Galway West
2ae19629-16a1-13a3-e055-000000000001,2ae19629-16a1-13a3-e055-000000000001,Ballyadams,Laois
2ae19629-16a2-13a3-e055-000000000001,2ae19629-16a2-13a3-e055-000000000001,Ballybrittas,Laois
2ae19629-16a3-13a3-e055-000000000001,2ae19629-16a3-13a3-e055-000000000001,Ballybrophy,Laois
2ae19629-16a4-13a3-e055-000000000001,2ae19629-16a4-13a3-e055-000000000001,Ballycarroll,Laois
2ae19629-16a5-13a3-e055-000000000001,2ae19629-16a5-13a3-e055-000000000001,Ballyfin,Laois
2ae19629-16a6-13a3-e055-000000000001,2ae19629-16a6-13a3-e055-000000000001,Ballylehane,Laois
2ae19629-16a7-13a3-e055-000000000001,2ae19629-16a7-13a3-e055-000000000001,Ballylynan,Laois
2ae19629-16a8-13a3-e055-000000000001,2ae19629-16a8-13a3-e055-000000000001,Abbeyleix,Laois
2ae19629-16a9-13a3-e055-000000000001,2ae19629-16a9-13a3-e055-000000000001,Aghmacart,Laois
2ae19629-16aa-13a3-e055-000000000001,2ae19629-16aa-13a3-e055-000000000001,Arderin,Laois
2ae19629-16ab-13a3-e055-000000000001,2ae19629-16ab-13a3-e055-000000000001,Ardough,Laois
2ae19629-16ac-13a3-e055-000000000001,2ae19629-16ac-13a3-e055-000000000001,Arless,Laois
2ae19629-16ad-13a3-e055-000000000001,2ae19629-16ad-13a3-e055-000000000001,Ballickmoyler,Laois
2ae19629-16ae-13a3-e055-000000000001,2ae19629-16ae-13a3-e055-000000000001,Ballinakill,Laois
2ae19629-16af-13a3-e055-000000000001,2ae19629-16af-13a3-e055-000000000001,Ballyroan,Laois
2ae19629-16b0-13a3-e055-000000000001,2ae19629-16b0-13a3-e055-000000000001,Barrowhouse,Laois
2ae19629-16b1-13a3-e055-000000000001,2ae19629-16b1-13a3-e055-000000000001,Blandsfort,Laois
2ae19629-16b2-13a3-e055-000000000001,2ae19629-16b2-13a3-e055-000000000001,Borris,Laois
2ae19629-16b3-13a3-e055-000000000001,2ae19629-16b3-13a3-e055-000000000001,Cullahill,Laois
2ae19629-16b4-13a3-e055-000000000001,2ae19629-16b4-13a3-e055-000000000001,Cullenagh,Laois
2ae19629-16b5-13a3-e055-000000000001,2ae19629-16b5-13a3-e055-000000000001,Curraclone,Laois
2ae19629-16b6-13a3-e055-000000000001,2ae19629-16b6-13a3-e055-000000000001,Dangans,Laois
2ae19629-16b7-13a3-e055-000000000001,2ae19629-16b7-13a3-e055-000000000001,Donaghmore,Laois
2ae19629-16b8-13a3-e055-000000000001,2ae19629-16b8-13a3-e055-000000000001,Donore,Laois
2ae19629-16b9-13a3-e055-000000000001,2ae19629-16b9-13a3-e055-000000000001,Doonane,Laois
2ae19629-16ba-13a3-e055-000000000001,2ae19629-16ba-13a3-e055-000000000001,Borris-in-Ossory,Laois
2ae19629-16bc-13a3-e055-000000000001,2ae19629-16bc-13a3-e055-000000000001,Caher,Laois
2ae19629-16be-13a3-e055-000000000001,2ae19629-16be-13a3-e055-000000000001,Cappalough,Laois
2ae19629-16bf-13a3-e055-000000000001,2ae19629-16bf-13a3-e055-000000000001,Cardtown,Laois
2ae19629-16c0-13a3-e055-000000000001,2ae19629-16c0-13a3-e055-000000000001,Castlecuffe,Laois
2ae19629-16c1-13a3-e055-000000000001,2ae19629-16c1-13a3-e055-000000000001,Castletown,Laois
2ae19629-16c2-13a3-e055-000000000001,2ae19629-16c2-13a3-e055-000000000001,Clash,Laois
2ae19629-16c3-13a3-e055-000000000001,2ae19629-16c3-13a3-e055-000000000001,Clonaslee,Laois
2ae19629-16c4-13a3-e055-000000000001,2ae19629-16c4-13a3-e055-000000000001,Clondarrig,Laois
2ae19629-16c5-13a3-e055-000000000001,2ae19629-16c5-13a3-e055-000000000001,Clonin,Laois
2ae19629-16c6-13a3-e055-000000000001,2ae19629-16c6-13a3-e055-000000000001,Clonkeen,Laois
2ae19629-16c7-13a3-e055-000000000001,2ae19629-16c7-13a3-e055-000000000001,Clonmore,Laois
2ae19629-16c8-13a3-e055-000000000001,2ae19629-16c8-13a3-e055-000000000001,Colt,Laois
2ae19629-16c9-13a3-e055-000000000001,2ae19629-16c9-13a3-e055-000000000001,Coolrain,Laois
2ae19629-16ca-13a3-e055-000000000001,2ae19629-16ca-13a3-e055-000000000001,Cuffsborough,Laois
2ae19629-16cb-13a3-e055-000000000001,2ae19629-16cb-13a3-e055-000000000001,Killabban,Laois
2ae19629-16cc-13a3-e055-000000000001,2ae19629-16cc-13a3-e055-000000000001,Killermogh,Laois
2ae19629-16cd-13a3-e055-000000000001,2ae19629-16cd-13a3-e055-000000000001,Kilmullen,Laois
2ae19629-16ce-13a3-e055-000000000001,2ae19629-16ce-13a3-e055-000000000001,Kilmurry,Laois
2ae19629-16cf-13a3-e055-000000000001,2ae19629-16cf-13a3-e055-000000000001,Kilnaseer,Laois
2ae19629-16d0-13a3-e055-000000000001,2ae19629-16d0-13a3-e055-000000000001,Kyle,Laois
2ae19629-16d1-13a3-e055-000000000001,2ae19629-16d1-13a3-e055-000000000001,Dunmore,Laois
2ae19629-16d2-13a3-e055-000000000001,2ae19629-16d2-13a3-e055-000000000001,Durrow,Laois
