OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
1," Enniscorthy Health Centre, ",Enniscorthy,Health Centre,,Mill Yard Lane,Enniscorthy,Co. Wexford,,Y21 H2X3,-6.56655768896284,52.4989117057041,
2,Abbeydorney Health Centre,Abbeydorney,Health Centre,,Abbeydorney Community Centre,Abbeydorney Parish Community Hall,Abbeydorney,Co. Kerry,V92 YK5X,-9.69097875684127,52.3451390406611,
3,Abbeyfeale Health Centre,Abbeyfeale,Health Centre,,Convent Road,Abbeyfeale,Co. Limerick,,V94 NN66,-9.29242420737435,52.3873374277779,
4,Abbeyknockmoy Health Centre,Abbeyknockmoy,Health Centre,,Culliagh North,Abbeyknockmoy,Co. Galway,,H54 H103,-8.75474818071021,53.4342869305895,
5,"Abbeyleix Health Centre,",Abbeyleix,Health Centre,,Ballinakill Road,Abbeyleix,Co. Laois,,R32 A006,-7.34361997143985,52.9120867405311,
6,Achill Health Centre,,Health Centre,NULL,Saint Fionnans Road,Achill Sound,Co. Mayo,,F28 W925,-9.93173508449793,53.9280463111834,
7,Achill Sound - Health Centre PCC,,Health Centre,NULL,Achill Health Centre,Achill Sound,Co. Mayo,,F28 E142,-9.929665499034,53.9302428843706,
8,"Aclare Health Centre, ",Aclare,Health Centre,,Lisheen,Aclare,Co. Sligo,,F91 P954,-8.90503041772716,54.0346529470805,
9,"Adamstown Health Centre,",Adamstown,Health Centre,,Adamstown,Co. Wexford,,,Y21 TE82,-6.71603180963504,52.3925279721251,
10,Adare Health Centre,Adare,Health Centre,,Rathkeale Road,Adare,Co. Limerick,,V94 R3W0,-8.7937094970897,52.5624697684854,
11,Addiction Services Centre - PCC,,Health Centre,NULL,Patrick Street Centre,99-101 Patrick Street,Dun Laoghaire,Co. Dublin,A96 V043,-6.13693813214316,53.2916197497798,
12,Adelaide Court (Registration Office),,Health Centre,NULL,Births Deaths & Marraige Registration Office,Adelaide Court,Adelaide Street,Cork,T12 XKC4,-8.48034990523907,51.8998947116934,
13,Adrigole Health Centre,Adrigole,Health Centre,,Cappanaparka East,Adrigole,Co. Cork,,P75 YE24,-9.7341567471981,51.6891267202077,
14,"Ahascragh Health Centre, ",Ahascragh,Health Centre,,Chapel Street,Ahascragh,Ballinasloe,Co. Galway,H53 TR96,-8.33084508733699,53.3957791381964,
15,Aiseiri Roxborough House,,Health Centre,NULL,AisÃƒÂ©irÃƒÂ­,Roxborough,Wexford,,Y35 AH70,-6.44951311117012,52.3214777302264,
16,"Allihies Health Centre, ",Allihies,Health Centre,,Cluin,Allihies,Co. Cork,,P75 EK70,-10.0443659644153,51.6420689303414,
17,An ClochÃƒÂ¡n Liath,Dungloe,Health Centre,,Gweedore Road,Dungloe,Co. Donegal,,F94 Y326,-8.35764607680199,54.9519569760706,
18,An tSean Mianliacht (old fire station),,Health Centre,NULL,Station Road,Falcarragh,Co. Donegal,,F92 ER80,-8.10379968657304,55.1354119932198,
19,"Annacotty Health Centre,",Annacotty,Health Centre,,Annacotty,Co. Limerick,,,V94 YAN5,-8.52990261932976,52.6678983749705,
20,"Annascaul Health Centre, ",Annascaul,Health Centre,,Church Avenue,Annascaul,Co. Kerry,,V92 KA03,-10.0517192643107,52.151958331971,
21,Annbrook,,Health Centre,NULL,Limerick Road,Nenagh,Co. Tipperary,,E45 YD79,-8.2117501884516,52.8619579658401,
22,Ardaravan Clinic,,Health Centre,NULL,Unit 12,Ardaravan Square,Buncrana,Co. Donegal,F93 E8VF,-7.45157217203262,55.1327399692547,
