OBJECTID,category,subcategory,name,address1,address2,address3,address4,Eircode,POINT_X,POINT_Y
1,Hospital,Community,Abbeyleix,Ballinakill Road,Abbeyleix,Co. Laois,,R32 FV52,-7.34278400867691,52.9118528352185
2,Hospital,Community,Athy,Saint Vincent's Hospital,Woodstock Street,Athy,Co. Kildare,R14 AY22,-6.99481391435073,52.9981363959695
3,Hospital,Private General,Aut Even Hospital,Freshford Road,Kilkenny,,,R95 D370,-7.27002879558277,52.6765103770434
4,Hospital,Community,Baggot Street,14/18 Baggot Street Upper,Dublin 4,,,D04 T6N3,-6.24404607031313,53.3338425649059
5,Hospital,Community,Baltinglass District Hospital,Newtownsaunders,Baltinglass,Co. Wicklow,,W91 EK59,-6.67912751460685,52.9315160872043
6,Hospital,Community,Bandon Community Hospital,Cloughmacsimon,Bandon,Co. Cork,,P72 W564,-8.72458793402485,51.7439923338343
7,Hospital,General/Acute,Bantry General Hospital,Carrignagat,Bantry,Co. Cork,,P75 DX93,-9.44967122043656,51.6759898293536
8,Hospital,Private General,Barrington's Hospital,George's Quay,Limerick,,,V94 HE2T,-8.62138010691413,52.6668201220892
9,Hospital,Private General,Beacon Hospital,Beacon Court,Sandyford Industrial Estate,Dublin 18,,D18 AK68,-6.21995985886942,53.2767907151726
10,Hospital,General/Acute,Beaumont Hospital,Beaumont Road,Dublin 9,,,D09 C562,-6.22565374930009,53.3921303873479
11,Hospital,Community,Belmullet Community Hospital,Belmullet,Co. Mayo,,,F26 K1H9,-9.9863314014218,54.228282979492
12,Hospital,Community,Birr,Sandymount,Birr,Co. Offaly,,R42 VN80,-7.89965349468653,53.0980193756078
13,Hospital,Private General,Blackrock Clinic,Rock Road,Blackrock,Co. Dublin,,A94 E4X7,-6.18817153270403,53.303467514542
14,Hospital,Private General,Bon Secours Hospital - Cork,College Road,Cork,,,T12 DV56,-8.49730354117876,51.8915483825522
15,Hospital,Private General,Bon Secours Hospital - Dublin ,Glasnevin Hill,Dublin 9,,,D09 YN97,-6.26738720249183,53.3758783220239
16,Hospital,Private General,Bon Secours Hospital - Galway,Renmore Road,Galway,,,H91 KC7H,-9.01961931600873,53.2779353269779
17,Hospital,Private General,Bon Secours Hospital - Kerry,Strand Street,Tralee,Co. Kerry,,V92 P663,-9.71303761731934,52.2695855608268
18,Hospital,Community,Buncrana,Maginn Avenue,Buncrana,Co. Donegal,,F93 X225,-7.45011450444936,55.1340791034713
19,Hospital,Community,Cahercalla,Community Hospital And Hospice,Cahircalla,Ennis,Co. Clare,V95 NR59,-9.00380239266034,52.8329001519622
