OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,POINT_X,POINT_Y
1,,,Pharmacy,NULL,Cara PharmacyWine Street,Sligo,F91tn8c,,,-8.47610208151742,54.2722718507687
2,A & A Pharmacy,,Pharmacy,NULL,21 William Street,Athy,Co. Kildare,,,-5.25402840954031e-08,2.69345634909401e-10
3,A. C. Boles Limited,A.C. Boles Limited,Pharmacy,,20 Lower Drumcondra Road,,,Dublin 9,,-6.25827048259833,53.3622611972224
4,A. C. Boles Limited,A. C. Boles Limited,Pharmacy,,390 South Circular Road,,,Dublin 8,,-6.29002270855037,53.3331243131206
5,A.J. Hallahan Limited,A. J. Hallahan Limited,Pharmacy,,38/39 The Square,,Dungarvan,Co. Waterford,,-7.61996604072813,52.088783396607
6,Abbey Allcare Pharmacy,,Pharmacy,NULL,Abbey Pharmacy,Lord Edward Street,Kilmallock,Co. Limerick,V35at22,-8.5717784675209,52.3983224148128
7,Abbey Healthcare,Abbey Healthcare Ltd,Pharmacy,,14 Uam Var Avenue,,Bishopstown,Co. Cork,,-8.53352329973508,51.8769237598527
8,Abbey Healthcare,Abbey Healthcare Limited,Pharmacy,,Unit 1 Pottery Road Industrial Estate,Pottery Road,Dun Laoghaire,Co. Dublin,,-6.15727992336288,53.2759582985417
9,Abbey Street Pharmacy Limited,,Pharmacy,NULL,42 Abbey Street,Wexford,,,,-6.46497264124621,52.3403659339451
10,Abbeydorney Pharmacy,Abbeydorney Pharmacy Limited,Pharmacy,,Abbeydorney,,Tralee,Co. Kerry,,-9.68938062172438,52.3457008049591
11,Abbeyknockmoy Pharmacy Ltd,Abbeyknockmoy Pharmacy Ltd,Pharmacy,,Unit 1,Cois Na Habhainn,Abbeyknockmoy,Tuam,Co. Galway,-8.74847610626174,53.4369558535917
12,Adam's Pharmacy Limited,Adam's Pharmacy Limited,Pharmacy,,Main Street,,Raheny,Dublin 5,,-6.17342549909026,53.3796534019133
13,Adams' Pharmacy,Adams Healthcare Limited,Pharmacy,,Bridge Street,,Tullamore,Co. Offaly,,-7.49164737001492,53.2746959784518
14,Adams' Pharmacy,Adams Healthcare Limited,Pharmacy,,58 Main Street,,Portlaoise,Co. Laois,,-7.30010160824733,53.033504503545
15,Adamstown Pharmacy,,Pharmacy,NULL,Adamstown,Enniscorthy,Co. Wexford,,,0.00134857728753578,-0.00516614904572705
16,Adare Pharmacy,J & C Collins Pharmacy (Adare) Limited,Pharmacy,,Main Street,,Adare,Co. Limerick,,-8.79054298718511,52.5634422878998
17,Adrian Dunne Pharmacy,Chemash Limited,Pharmacy,,Unit 11,Tesco Shopping Centre,Ashbourne,Co. Meath,,-6.39900759297706,53.5110962240935
18,Adrian Dunne Pharmacy,Cronins' Pharmacy Limited,Pharmacy,,12 Dublin Street,,Balbriggan,Co. Dublin,,-6.18217101602401,53.6075684650562
19,Adrian Dunne Pharmacy,Holly Pharmacy (Arklow) Limited,Pharmacy,,40-41 Main Street,,Arklow,Co. Wicklow,,-6.15260931278249,52.7979621684249
20,Adrian Dunne Pharmacy,Adrian Dunne Chemist (Trim) Limited,Pharmacy,,Market Street,,Trim,Co. Meath,,-6.79107805756328,53.5553891789521
21,Adrian Dunne Pharmacy,Popster Limited,Pharmacy,,Unit 4,Racecourse Shopping Centre,Baldoyle,Dublin 13,,-6.13677860872125,53.3963333090705
22,Adrian Dunne Pharmacy,John O'Byrne Chemist limited,Pharmacy,,Upper Main Street,,Portarlington,Co. Laois,,-7.18762783420925,53.1593521312721
23,Adrian Dunne Pharmacy,Devines Pharmacy Limited,Pharmacy,,394 Collins Avenue,,Whitehall,Dublin 9,,-6.2398427359751,53.3813654248077
24,Adrian Dunne Pharmacy,Irwin's Pharmacy Limited,Pharmacy,,Hillcrest Shopping Centre,Hillcrest,Lucan,Co. Dublin,K78 V2T5,-6.45837158874648,53.3528202601063
25,Advance Pharmacy,Pharmacy United Limited,Pharmacy,,14 Lower Drumcondra Road,,Drumcondra,Dublin 9,,-6.25831299923833,53.3620807690748
26,Aghada Pharmacy,,Pharmacy,NULL,1 Lower Aghada,Co. Cork,,,,-8.2117759377702,51.8419806131443
27,Ahern's Pharmacy,Rivergrove Retail Ltd,Pharmacy,,Farranfore,,Killarney,Co. Kerry,,-9.54967296827431,52.1716891944806
28,Aidan Walsh Pharmacists,Aidan Liam Mary Walsh,Pharmacy,,The Medical Hall,Main Street,Ferbane,Co. Offaly,,-7.82700085050375,53.2716530341433
29,Allcare Late Night Pharmacy Douglas,,Pharmacy,NULL,Clermont,Douglas Road,Douglas,Co. Cork,,0.00134857728753578,-0.00516614904572705
30,Allcare Late Night Pharmacy Wilton,,Pharmacy,NULL,Cardinal Way,Wilton,Cork,Co. Cork,,0.00134857728753578,-0.00516614904572705
31,Allcare Late Night Pharmacy Wilton,,Pharmacy,NULL,Phelan's Late Night Pharmacy,Cardinal Way,Wilton,Cork,T12x22n,-8.50986837237874,51.8808652705753
